,loss,f1_score,precision,recall,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/loss_fn,config/lr,config/momentum,config/optim_type,config/weight decay,config/num_layers,config/hidden_size,config/num_fc_layers,config/activation_type,logdir
67,0.7158352136611938,0.0035906643323752488,0.8,0.001799370220422852,1709343596,,False,100,ce9bc_00067,2024-03-01_17-39-56,9.945047616958618,1069.8660774230957,7537,bling-bling,192.168.0.125,1069.8660774230957,100,CrossEntropy,0.1,0.1606371991700539,1,1e-05,4,128,1,2,ce9bc_00067
22,0.059742867946624756,0.16821785466206718,0.35988200589970504,0.10976158344579397,1709339115,,False,100,ce9bc_00022,2024-03-01_16-25-15,10.750783205032349,975.3889753818512,7529,bling-bling,192.168.0.125,975.3889753818512,100,Focal,0.1,0.05913678505850842,1,1e-05,2,32,1,2,ce9bc_00022
39,0.05657152831554413,0.37291982267601753,0.3216965742251223,0.44354475933423304,1709341170,,False,100,ce9bc_00039,2024-03-01_16-59-30,9.00755524635315,909.011180639267,7523,bling-bling,192.168.0.125,909.011180639267,100,Focal,0.01,0.08859034625418066,1,1e-05,6,128,1,2,ce9bc_00039
18,0.6893777847290039,0.3554771655219673,0.31493055555555555,0.4080071974808817,1709339091,,False,100,ce9bc_00018,2024-03-01_16-24-51,9.639611721038818,962.1376466751099,7537,bling-bling,192.168.0.125,962.1376466751099,100,CrossEntropy,0.1,0.08695705870978104,1,1e-05,2,32,1,2,ce9bc_00018
86,0.05559001863002777,0.39520959034997594,0.31353919239904987,0.5344129554655871,1709345177,,False,100,ce9bc_00086,2024-03-01_18-06-17,9.423990726470947,929.3937478065491,7524,bling-bling,192.168.0.125,929.3937478065491,100,Focal,0.01,0.14619162948927475,2,1e-05,2,32,1,2,ce9bc_00086
84,0.05567089840769768,0.4063732539059522,0.3129251700680272,0.5793972109761584,1709345172,,False,100,ce9bc_00084,2024-03-01_18-06-12,9.339442729949951,932.1147916316986,7535,bling-bling,192.168.0.125,932.1147916316986,100,Focal,0.01,0.06288548202141678,2,1e-05,2,16,1,2,ce9bc_00084
72,0.6579110026359558,0.3968410544437345,0.31284046692607004,0.5425101214574899,1709344239,,False,100,ce9bc_00072,2024-03-01_17-50-39,9.068099737167358,953.2622601985931,7535,bling-bling,192.168.0.125,953.2622601985931,100,CrossEntropy,0.001,0.0020989013075968775,2,1e-05,2,16,1,2,ce9bc_00072
74,0.6571221947669983,0.4017383002095893,0.31278195488721805,0.5614035087719298,1709344247,,False,100,ce9bc_00074,2024-03-01_17-50-47,9.249932289123535,950.7002222537994,7524,bling-bling,192.168.0.125,950.7002222537994,100,CrossEntropy,0.001,0.14166461142567582,2,1e-05,2,32,1,2,ce9bc_00074
14,0.035304225981235504,0.34714714547525644,0.31277056277056275,0.3900134952766532,1709339097,,False,100,ce9bc_00014,2024-03-01_16-24-57,10.171150207519531,974.1882257461548,7524,bling-bling,192.168.0.125,974.1882257461548,100,Focal,0.01,0.037183168474213026,1,1e-05,2,32,1,2,ce9bc_00014
35,0.6736047267913818,0.38272679569258455,0.31221590909090907,0.4943769680611786,1709339993,,False,100,ce9bc_00035,2024-03-01_16-39-53,7.887483835220337,877.3594703674316,7528,bling-bling,192.168.0.125,877.3594703674316,100,CrossEntropy,0.01,0.16187107227517578,1,1e-05,6,128,1,2,ce9bc_00035
1,0.021814119070768356,0.28751515295128527,0.3117770767613039,0.26675663517768783,1709338129,,False,100,ce9bc_00001,2024-03-01_16-08-49,9.40262770652771,957.8902170658112,7523,bling-bling,192.168.0.125,957.8902170658112,100,CrossEntropy,0.001,0.19019214697557332,1,1e-05,2,64,1,2,ce9bc_00001
79,0.05626543238759041,0.4004499301365769,0.3115,0.5605038236617184,1709344532,,False,100,ce9bc_00079,2024-03-01_17-55-32,9.362098455429077,935.2408022880554,7538,bling-bling,192.168.0.125,935.2408022880554,100,Focal,0.001,0.024057942845500814,2,1e-05,2,128,1,2,ce9bc_00079
82,0.6246393918991089,0.37007297909820275,0.31132944427387166,0.45614035087719296,1709344539,,False,100,ce9bc_00082,2024-03-01_17-55-39,9.03295612335205,921.9024813175201,7545,bling-bling,192.168.0.125,921.9024813175201,100,CrossEntropy,0.01,0.0668487069456772,2,1e-05,2,32,1,2,ce9bc_00082
23,0.059616461396217346,0.28361499455121125,0.31129032258064515,0.26045883940620784,1709339111,,False,100,ce9bc_00023,2024-03-01_16-25-11,10.753634214401245,970.929850101471,7527,bling-bling,192.168.0.125,970.929850101471,100,Focal,0.1,0.07390600681544465,1,1e-05,2,128,1,2,ce9bc_00023
73,0.6555851101875305,0.3992910102768946,0.3110720562390158,0.5573549257759784,1709344243,,False,100,ce9bc_00073,2024-03-01_17-50-43,9.147300481796265,950.3567492961884,7523,bling-bling,192.168.0.125,950.3567492961884,100,CrossEntropy,0.001,0.163276824262512,2,1e-05,2,64,1,2,ce9bc_00073
33,0.6485786437988281,0.3604453673183758,0.31046814044213267,0.4295996401259559,1709340289,,False,100,ce9bc_00033,2024-03-01_16-44-49,11.142107009887695,1174.1109545230865,7529,bling-bling,192.168.0.125,1174.1109545230865,100,CrossEntropy,0.01,0.18982822191341334,1,1e-05,6,64,1,2,ce9bc_00033
142,0.05434877425432205,0.37202596331109605,0.3103759398496241,0.4642375168690958,1709349559,,False,100,ce9bc_00142,2024-03-01_19-19-19,2.8393185138702393,770.5481791496277,7527,bling-bling,192.168.0.125,770.5481791496277,100,Focal,0.1,0.09995245267258471,2,1e-05,4,32,1,2,ce9bc_00142
