,symbol,sector
0,AAPL,Technology
1,MSFT,Technology
2,AMZN,Consumer Cyclical
3,NVDA,Technology
4,GOOGL,Communication Services
5,GOOG,Communication Services
6,META,Communication Services
7,TSLA,Consumer Cyclical
8,UNH,Healthcare
9,LLY,Healthcare
10,JPM,Financial Services
11,XOM,Energy
12,JNJ,Healthcare
13,V,Financial Services
14,PG,Consumer Defensive
15,AVGO,Technology
16,MA,Financial Services
17,HD,Consumer Cyclical
18,CVX,Energy
19,MRK,Healthcare
20,ABBV,Healthcare
21,PEP,Consumer Defensive
22,COST,Consumer Defensive
23,ADBE,Technology
24,KO,Consumer Defensive
25,CSCO,Technology
26,WMT,Consumer Defensive
27,TMO,Healthcare
28,MCD,Consumer Cyclical
29,PFE,Healthcare
30,CRM,Technology
31,BAC,Financial Services
32,ACN,Technology
33,CMCSA,Communication Services
34,LIN,Basic Materials
35,NFLX,Communication Services
36,ABT,Healthcare
37,ORCL,Technology
38,DHR,Healthcare
39,AMD,Technology
40,WFC,Financial Services
41,DIS,Communication Services
42,TXN,Technology
43,PM,Consumer Defensive
44,VZ,Communication Services
45,INTU,Technology
46,COP,Energy
47,CAT,Industrials
48,AMGN,Healthcare
49,NEE,Utilities
50,INTC,Technology
51,UNP,Industrials
52,LOW,Consumer Cyclical
53,IBM,Technology
54,BMY,Healthcare
55,SPGI,Financial Services
56,RTX,Industrials
57,HON,Industrials
58,BA,Industrials
59,UPS,Industrials
60,GE,Industrials
61,QCOM,Technology
62,AMAT,Technology
63,NKE,Consumer Cyclical
64,PLD,Real Estate
65,NOW,Technology
66,BKNG,Consumer Cyclical
67,SBUX,Consumer Cyclical
68,MS,Financial Services
69,ELV,Healthcare
70,MDT,Healthcare
71,GS,Financial Services
72,DE,Industrials
73,ADP,Industrials
74,LMT,Industrials
75,TJX,Consumer Cyclical
76,T,Communication Services
77,BLK,Financial Services
78,ISRG,Healthcare
79,MDLZ,Consumer Defensive
80,GILD,Healthcare
81,MMC,Financial Services
82,AXP,Financial Services
83,SYK,Healthcare
84,REGN,Healthcare
85,VRTX,Healthcare
86,ETN,Industrials
87,LRCX,Technology
88,ADI,Technology
89,SCHW,Financial Services
90,CVS,Healthcare
91,ZTS,Healthcare
92,CI,Healthcare
93,CB,Financial Services
94,AMT,Real Estate
95,SLB,Energy
96,C,Financial Services
97,BDX,Healthcare
98,MO,Consumer Defensive
99,PGR,Financial Services
100,TMUS,Communication Services
101,FI,Technology
102,SO,Utilities
103,EOG,Energy
104,BSX,Healthcare
105,CME,Financial Services
106,EQIX,Real Estate
107,MU,Technology
108,DUK,Utilities
109,PANW,Technology
110,PYPL,Financial Services
111,AON,Financial Services
112,SNPS,Technology
113,ITW,Industrials
114,KLAC,Technology
115,LULU,Consumer Cyclical
116,ICE,Financial Services
117,APD,Basic Materials
118,SHW,Basic Materials
119,CDNS,Technology
120,CSX,Industrials
121,NOC,Industrials
122,CL,Consumer Defensive
123,MPC,Energy
124,HUM,Healthcare
125,FDX,Industrials
126,WM,Industrials
127,MCK,Healthcare
128,TGT,Consumer Defensive
129,ORLY,Consumer Cyclical
130,HCA,Healthcare
131,FCX,Basic Materials
132,EMR,Industrials
133,PXD,Energy
134,MMM,Industrials
135,MCO,Financial Services
136,ROP,Technology
137,CMG,Consumer Cyclical
138,PSX,Energy
139,MAR,Consumer Cyclical
140,PH,Industrials
141,APH,Technology
142,GD,Industrials
143,USB,Financial Services
144,NXPI,Technology
145,AJG,Financial Services
146,NSC,Industrials
147,PNC,Financial Services
148,VLO,Energy
149,GBP,
150,F,Consumer Cyclical
151,MSI,Technology
152,GM,Consumer Cyclical
153,TT,Industrials
154,EW,Healthcare
155,CARR,Industrials
156,AZO,Consumer Cyclical
157,ADSK,Technology
158,TDG,Industrials
159,ANET,Technology
160,SRE,Utilities
161,ECL,Basic Materials
162,OXY,Energy
163,PCAR,Industrials
164,ADM,Consumer Defensive
165,MNST,Consumer Defensive
166,KMB,Consumer Defensive
167,PSA,Real Estate
168,CCI,Real Estate
169,CHTR,Communication Services
170,MCHP,Technology
171,MSCI,Financial Services
172,CTAS,Industrials
173,WMB,Energy
174,AIG,Financial Services
175,STZ,Consumer Defensive
176,HES,Energy
177,NUE,Basic Materials
178,ROST,Consumer Cyclical
